Name,Latitude,Longitude,Color
Arizona Cardinals,33.5275,-112.2625,#97233F
Atlanta Falcons,33.7647,-84.4011,#A6192E
Baltimore Ravens,39.278055555556,-76.622777777778,#241773
Buffalo Bills,42.7738,-78.787,#00338D
Carolina Panthers,35.225833333333,-80.852777777778,#0085CA
Chicago Bears,41.8625,-87.616666666667,#DC4405
Cincinnati Bengals,39.095444444444,-84.516038888889,#FC4C02
Cleveland Browns,41.506111111111,-81.699444444444,#382F2D
Dallas Cowboys,32.747777777778,-97.092777777778,#041E42
Denver Broncos,39.743888888889,-105.02,#FC4C02
Detroit Lions,42.34,-83.045555555556,#0069B1
Green Bay Packers,44.501388888889,-88.062222222222,#175E33
Houston Texans,29.684722222222,-95.410833333333,#A6192E
Indianapolis Colts,39.760056,-86.163806,#001489
Jacksonville Jaguars,30.323888888889,-81.6375,#006073
Kansas City Chiefs,39.048888888889,-94.483888888889,#C8102E
Los Angeles Chargers,33.864444444444,-118.26111111111,#0072CE
Los Angeles Rams,34.014167,-118.287778,#002244
Miami Dolphins,25.958055555556,-80.238888888889,#008E97
Minnesota Vikings,44.973889,-93.258056,#4F2683
New England Patriots,42.090944444444,-71.264344444444,#0C2340
New Orleans Saints,29.950833333333,-90.081111111111,#D3BC8D
New York Jets/Giants,40.8136,-74.0744,#0C371D
Oakland Raiders,37.751666666667,-122.20055555556,#A5ACAF
Philadelphia Eagles,39.900833333333,-75.1675,#064C53
Pittsburgh Steelers,40.446666666667,-80.015833333333,#FFB81C
San Francisco 49ers,37.4034,-121.97,#AA0000
Seattle Seahawks,47.595277777778,-122.33166666667,#4DFF00
Tampa Bay Buccaneers,27.975833333333,-82.503333333333,#C8102E
Tennessee Titans,36.166388888889,-86.771388888889,#4B92DB
Washington Redskins,38.907777777778,-76.864444444444,#862633
